From 100000 events 
Particle 5122 decay report 
# of Particle 5122 : 4286
(22, 3124) : 1, fraction(0)
(113, 311, -321, 4122) : 5, fraction(0)
(113, -2112, 2212, -4122) : 3, fraction(0)
(113, -211, 221, 4122) : 6, fraction(0)
(113, 213, 221, -4122) : 3, fraction(0)
(113, 113, 211, -4122) : 6, fraction(0)
(113, -211, 433, 3122) : 1, fraction(0)
(113, -313, 323, -4122) : 1, fraction(0)
(113, 311, -323, 4122) : 1, fraction(0)
(113, 321, 423, -4122) : 1, fraction(0)
(113, 211, 221, -4122) : 7, fraction(0)
(113, 3122, -3222, 4122) : 1, fraction(0)
(-211, 321, -323, 4122) : 1, fraction(0)
(211, 311, -311, -4122) : 1, fraction(0)
(-211, 221, 223, 4122) : 6, fraction(0)
(-211, 321, 441, -2112) : 2, fraction(0)
(211, 221, 221, -4122) : 2, fraction(0)
(211, -323, -423, -3122) : 1, fraction(0)
(211, -413, 421, -3122) : 1, fraction(0)
(211, -213, -423, -2112) : 1, fraction(0)
(211, 221, 223, -4122) : 7, fraction(0)
(-211, 211, -211, 4122) : 16, fraction(0)
(211, 1114, -1114, -4122) : 1, fraction(0)
(-211, -311, -423, 2212) : 1, fraction(0)
(211, -413, 421, 3122) : 1, fraction(0)
(-211, 213, 213, -4122) : 7, fraction(0)
(211, 211, -213, -4122) : 8, fraction(0)
(-211, -1114, 2112, 4112) : 1, fraction(0)
(211, 323, -431, -2212) : 1, fraction(0)
(211, -411, 433, -2212) : 1, fraction(0)
(-211, -313, 313, 4122) : 2, fraction(0)
(-211, 221, 413, 2112) : 2, fraction(0)
(-211, 211, -213, 4122) : 8, fraction(0)
(211, -321, -411, 2212) : 1, fraction(0)
(211, 2212, -2212, -4122) : 2, fraction(0)
(-211, -323, 323, 4122) : 1, fraction(0)
(-211, 211, 423, 2112) : 2, fraction(0)
(211, -211, -213, 4122) : 6, fraction(0)
(-211, 2112, -2112, 4122) : 1, fraction(0)
(211, -321, -413, 2212) : 1, fraction(0)
(211, 313, -313, -4122) : 1, fraction(0)
(-211, -3222, 3222, 4122) : 1, fraction(0)
(-211, -423, 433, -2112) : 1, fraction(0)
(211, 321, -323, -4122) : 1, fraction(0)
(-211, -311, 313, 4122) : 3, fraction(0)
(211, 321, -321, -4122) : 4, fraction(0)
(-211, 413, -423, -3122) : 1, fraction(0)
(211, -213, 423, 2112) : 1, fraction(0)
(-211, -2214, 2214, 4122) : 1, fraction(0)
(-211, 411, -421, -3122) : 2, fraction(0)
(-211, -313, -423, 4122) : 1, fraction(0)
(-211, 321, 413, -4122) : 2, fraction(0)
(211, 423, -431, 2112) : 1, fraction(0)
(211, -411, 423, -3122) : 4, fraction(0)
(211, -213, -213, 4122) : 6, fraction(0)
(-211, -2212, 2212, 4122) : 1, fraction(0)
